c870e355-3b09-40f8-9d18-b29693841c42,22f8376f-dabf-4300-b651-72973b7fd115--26028a24-8211-4c9a-98cc-82997ad94875,19998
c28f3f1f-099b-42de-bd60-8b4bc117a199,59224ad4-a70a-4ccd-8294-1035cb50a0ac--d1f13f40-30f7-4d8d-8608-0226c596b1fd,0
75c34adc-5d75-407d-b31c-fe5d2bd8642b,ebad7968-fb61-4fce-9a2b-12e7d93e9e5c--6cd7fd90-30bf-4b98-bbca-4c4cf1abb553,1836
8d3606e4-d992-48d2-aa7c-9f62b6ecbd9e,7fb858bc-6dee-40cc-8816-a0354a4654ba--31c49de4-1a31-484c-9d5f-63c2c41a87d2,2160
b13b0ae1-f8fe-4e23-8647-9d500896fb2a,a5442f16-be84-427f-9794-935987d15217--970b0b94-de9f-4ba6-b6db-e90a8681cb91,0
39e71a98-970b-420f-bf05-5df41d413377,d28731fc-9391-4282-8039-3e91efa8a0f7--6c677dc5-279a-438f-845d-8098d2a9d60d,996
5320fa88-b6f2-4563-b46c-05e38d165bc8,fd69f5df-df39-4de5-9c30-4d0f99fdb74b--4369b139-69d4-4a24-bc22-c239f7054043,0
082a0674-2bf2-4cb5-a8bd-2bbefe5b2d02,c3315abe-5eed-44f6-99b1-6c46952de2c7--e8fec56d-d350-411d-99d6-205ea130837e,198
ae77d416-23a3-423d-b008-8cf9f095f66f,ddd1f74d-8259-435d-9f43-fffcbc27fc72--eaa60c3d-c265-4496-9d3f-2ac99d74e9d1,0
ee06d0b6-aa88-4392-86e4-7436387f8144,eba48b92-563e-4cfb-a5bd-dfb9c2a22a85--12fd3514-8bab-4313-bfec-3d4c5ec9bb6e,0
